idx,orig_f_shape,orig_m_shape,harmonized_shape,CRS_match
0321,"(82, 83)","(79, 79)","(79, 79)",True
0322,"(67, 88)","(63, 85)","(63, 85)",True
0323,"(128, 105)","(123, 99)","(123, 99)",True
0324,"(104, 175)","(97, 171)","(97, 171)",True
0325,"(78, 92)","(74, 88)","(74, 88)",True
0326,"(131, 126)","(126, 122)","(126, 122)",True
0327,"(92, 64)","(88, 60)","(88, 60)",True
0328,"(67, 67)","(64, 63)","(64, 63)",True
0329,"(74, 82)","(71, 79)","(71, 79)",True
0330,"(91, 82)","(88, 79)","(88, 79)",True
0331,"(90, 73)","(87, 70)","(87, 70)",True
0332,"(64, 80)","(61, 77)","(61, 77)",True
0333,"(72, 67)","(69, 64)","(69, 64)",True
0334,"(120, 115)","(116, 111)","(116, 111)",True
0335,"(93, 71)","(90, 67)","(90, 67)",True
0336,"(67, 76)","(63, 74)","(63, 74)",True
0337,"(59, 83)","(56, 81)","(56, 81)",True
0338,"(113, 145)","(109, 141)","(109, 141)",True
0339,"(67, 83)","(64, 80)","(64, 80)",True
0340,"(95, 92)","(92, 88)","(92, 88)",True
0341,"(101, 101)","(97, 98)","(97, 98)",True
0342,"(141, 143)","(136, 139)","(136, 139)",True
0343,"(94, 85)","(90, 82)","(90, 82)",True
0344,"(182, 139)","(177, 135)","(177, 135)",True
0345,"(252, 177)","(248, 170)","(248, 170)",True
0346,"(138, 164)","(133, 160)","(133, 160)",True
0347,"(163, 128)","(159, 123)","(159, 123)",True
0348,"(119, 104)","(115, 101)","(115, 101)",True
0349,"(76, 85)","(72, 82)","(72, 82)",True
0350,"(147, 146)","(143, 142)","(143, 142)",True
0351,"(67, 84)","(64, 81)","(64, 81)",True
0352,"(144, 138)","(140, 134)","(140, 134)",True
0353,"(89, 92)","(86, 88)","(86, 88)",True
0354,"(100, 109)","(97, 106)","(97, 106)",True
0355,"(137, 160)","(133, 156)","(133, 156)",True
0356,"(126, 165)","(121, 161)","(121, 161)",True
0357,"(63, 79)","(60, 77)","(60, 77)",True
0358,"(86, 113)","(82, 109)","(82, 109)",True
0360,"(100, 106)","(96, 103)","(96, 103)",True
