Polygon_ID,Width,Height,Foreground_Pixels,Background_Pixels,Polygon_Area_m2,Rasterized_Area_m2
317,125,87,2941,7934,294502.47,294100.0
318,94,138,2209,10763,220669.47,220900.0
319,79,64,717,4339,71618.86,71700.0
32,60,55,144,3156,14395.09,14400.0
320,72,68,599,4297,59811.24,59900.0
321,79,79,991,5250,98593.16,99100.0
322,85,63,762,4593,75649.99,76200.0
323,99,123,2177,10000,217395.86,217700.0
324,171,97,4561,12026,457253.45,456100.0
325,88,74,997,5515,99234.3,99700.0
326,122,126,3112,12260,311140.44,311200.0
327,60,88,725,4555,72182.82,72500.0
328,63,64,359,3673,35647.17,35900.0
329,79,71,553,5056,55048.1,55300.0
330,79,88,1073,5879,107636.89,107300.0
331,70,87,693,5397,69335.74,69300.0
332,77,61,553,4144,55424.63,55300.0
333,64,69,549,3867,54975.57,54900.0
334,111,116,3275,9601,327242.46,327500.0
335,67,90,898,5132,89450.77,89800.0
336,74,63,466,4196,46243.97,46600.0
337,81,56,319,4217,31973.0,31900.0
338,141,109,2156,13213,215664.36,215600.0
339,80,64,635,4485,63428.99,63500.0
34,70,95,856,5794,85846.83,85600.0
340,88,92,1447,6649,144704.93,144700.0
341,98,97,2143,7363,214288.49,214300.0
342,139,136,4397,14507,439305.79,439700.0
343,82,90,828,6552,82944.77,82800.0
344,135,177,9813,14082,981144.12,981300.0
345,170,248,15193,26967,1518294.68,1519300.0
346,160,133,5794,15486,579227.39,579400.0
347,123,159,7245,12312,724578.4,724500.0
348,101,115,3346,8269,334514.99,334600.0
349,82,72,1020,4884,101762.05,102000.0
35,84,72,1057,4991,105768.93,105700.0
350,142,143,6004,14302,600811.3,600400.0
351,81,64,627,4557,62849.05,62700.0
352,134,140,4231,14529,422712.87,423100.0
353,88,86,1453,6115,145383.86,145300.0
354,106,97,1921,8361,191700.94,192100.0
355,156,133,6702,14046,670795.08,670200.0
356,161,121,5482,13999,547538.96,548200.0
357,77,60,424,4196,41818.92,42400.0
358,109,82,1466,7472,146456.74,146600.0
36,76,80,1026,5054,102669.28,102600.0
360,103,96,2157,7731,215702.14,215700.0
361,73,64,631,4041,62574.85,63100.0
362,62,77,455,4319,45907.44,45500.0
363,70,75,773,4477,76908.95,77300.0
364,73,69,715,4322,71623.58,71500.0
365,81,102,1288,6974,128432.94,128800.0
366,54,79,270,3996,26758.62,27000.0
367,46,53,60,2378,6330.17,6000.0
368,50,52,72,2528,7089.37,7200.0
369,49,51,46,2453,4524.33,4600.0
370,73,61,373,4080,37177.47,37300.0
371,56,58,215,3033,21363.19,21500.0
372,78,103,1689,6345,168634.3,168900.0
373,62,77,493,4281,49744.17,49300.0
374,53,70,212,3498,21356.13,21200.0
375,68,83,692,4952,69368.66,69200.0
376,58,61,322,3216,31931.22,32200.0
377,63,108,1070,5734,107223.92,107000.0
378,58,59,229,3193,22900.43,22900.0
